,Plasmid,Sample,Replicate,Antibiotic,Project,Species,Vmax_day3,lag_day3,AUC_day3,ODmax_day3,Day.y,AUC,ODmax,Replicate_cntrl,y0,y0_lm,Vmax,lag,r2,Day,Treatment
79,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",3,"123,985,000,000,001","1,29",2,"0,118","0,087337577432335","0,010382321958442","28,982,323,530,752","0,999560629062281",3,problems
80,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",5,"134,377,500,000,002","1,391",2,"0,118","0,0705577750182018","0,0107601659870835","477,922,689,176,328","0,997621872314643",5,problems
81,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",7,"136,804,499,999,999","1,356",2,"0,133","0,104277903181627","0,0105254501965575","231,144,171,883,038","0,999749444226519",7,problems
82,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",9,"134,874,999,999,998","1,416",2,"0,111","0,0646583247180178","0,0108519238129798","497,988,511,306,871","0,999192707212614",9,problems
83,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",11,"147,259,500,000,001","1,477",2,"0,131","0,0855447065117117","0,0130784906260173","32,584,662,322,465","0,998397016283549",11,problems
84,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",13,"150,205,500,000,001","1,464",2,"0,128","0,0816307342898896","0,00963512374760776","466,859,003,513,056","0,998433291785529",13,problems
85,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",15,"141,697,500,000,002","1,416",2,"0,126","0,0870158383243742","0,00950300696159845","389,552,229,790,446","0,999515623126048",15,problems
86,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",17,"126,270,000,000,003","1,354",2,"0,135","0,0963833098262525","0,00877609407979004","383,931,306,262,792","0,998927205238145",17,problems
87,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",19,"117,726,000,000,001","1,299",2,"0,103","0,0553771539986254","0,00972589548026418","638,051,132,140,031","0,999053661099913",19,problems
88,-,MG1656,1,-,RIBO,Ec,"0,010382321958442","28,982,323,530,752","123,985,000,000,001","1,29",21,"1388,87","1,43",2,"0,125","0,0655589661569427","0,010624923782491","607,405,536,435,675","0,999671872096385",21,problems
89,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",1,"918,215,000,000,002","1,015",3,"0,109","0,0604294039573435","0,0104766304036358","563,036,064,588,569","0,999432321668662",1,problems
90,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",3,"1,370,165","1,366",3,"0,132","0,0888740576926063","0,0118049284967689","335,098,715,119,103","0,999753247426212",3,problems
91,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",5,"142,590,000,000,002","1,373",3,"0,135","0,0856515948093307","0,0118433930722017","384,169,410,737,254","0,999491819730398",5,problems
92,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",7,"132,497,499,999,999","1,32",3,"0,157","0,122121772331915","0,0125255214947092","200,572,187,479,302","0,998445141831874",7,problems
93,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",9,"137,867,500,000,002","1,378",3,"0,112","0,0720608751439614","0,0104653578864609","42,137,844,321,856","0,999503059201034",9,problems
94,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",11,"1,527,105","1,496",3,"0,134","0,0822490114020186","0,0112815921092486","432,641,443,760,299","0,998706203768911",11,problems
95,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",13,"1455,38","1,411",3,"0,132","0,0756477515867075","0,0139876469235683","398,004,186,905,315","0,998101642783366",13,problems
96,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",15,"145,194,500,000,002","1,418",3,"0,142","0,0930576561951547","0,0108995011263626","387,731,321,421,127","0,999325771955131",15,problems
97,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",17,"1369,34","1,346",3,"0,126","0,0827536285843992","0,00887474472595127","473,719,590,450,638","0,998854771281586",17,problems
98,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",19,"139,910,000,000,002","1,373",3,"0,103","0,0542849449982614","0,00991504678656913","645,969,776,579,552","0,992085223732991",19,problems
99,-,MG1656,2,-,RIBO,Ec,"0,0118049284967689","335,098,715,119,103","1,370,165","1,366",21,"138,351,999,999,999","1,382",3,"0,14","0,0917282614871941","0,00968251019930168","4,366,759,105,481","0,997679843301094",21,problems
100,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",1,"912,385,000,000,004","1,081",4,"0,101","0,0602235800475915","0,0105338164962815","490,853,952,372,159","0,999394417461204",1,problems
101,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",3,"132,943,500,000,002","1,343",4,"0,117","0,0726702990639596","0,0124512646380048","382,484,180,244,436","0,999129553408245",3,problems
102,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",5,"129,303,000,000,001","1,368",4,"0,117","0,0664969463943601","0,0156680708799055","360,617,405,552,267","0,997336581187616",5,problems
103,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",7,"125,859,500,000,001","1,349",4,"0,117","0,0701591238890739","0,0128152788191965","399,061,215,409,257","0,999760447048758",7,problems
104,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",9,1435,"1,453",4,"0,123","0,0920951339035662","0,0116926526876049","24,747,356,836,913","0,999282035011403",9,problems
105,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",11,"154,391,000,000,001","1,496",4,"0,137","0,0961403545927486","0,0134240607473428","263,833,561,050,831","0,99886836492055",11,problems
106,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",13,"143,916,999,999,999","1,409",4,"0,124","0,0717347883256911","0,0137612598004262","397,714,853,710,964","0,999307382311083",13,problems
107,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436",1.33E+14,"1,343",15,"141,047,500,000,002","1,437",4,"0,121","0,0824361890749103","0,0128160394798814","299,441,974,953,475","0,999232137053314",15,problems
108,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",17,"133,116,000,000,001","1,388",4,"0,126","0,0731553623315757","0,0117000319057914","464,696,575,686,044","0,991143135891642",17,problems
109,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",19,"1,404,095","1,408",4,"0,117","0,0699126199330595","0,014678044424148","350,814,961,651,574","0,99897762235069",19,problems
110,-,MG1656,3,-,RIBO,Ec,"0,0124512646380048","382,484,180,244,436","132,943,500,000,002","1,343",21,"137,389,000,000,003","1,417",4,"0,127","0,0577165450222441","0,0140312681388093","562,061,250,695,232","0,999123059466312",21,problems
111,-,MG1656,4,-,RIBO,Ec,"0,0125223802688294","381,065,193,376,148","135,168,500,000,002","1,335",1,"1,019,475","1,112",5,"0,094","0,0142881278622851","0,0120126693283074","156,823,247,003,771","0,999258252214171",1,problems
